seed,method,variant,target_deg,baseline_mean_deg,guided_mean_deg,baseline_std_deg,guided_std_deg,requested_change_deg,achieved_change_deg,signed_error_deg,abs_error_deg,frame_hit_band,final_summary_in_band,loose_hit,positive_overshoot_deg,negative_undershoot_deg,overshoot_p90_deg,temporal_corr,phase_valid_fraction,active_frame_count
100,V7,v7-auto-dps,5,-9.511640548706055,7.522982120513916,2.24115252494812,1.4116407632827759,14.511640548706055,17.03462266921997,2.522982120513916,2.522982120513916,0.30833333333333335,0.0,0.925,1.3694037199020386,0.0,3.8442510604858398,-0.03131015598773956,1.0,120
101,V7,v7-auto-dps,5,-11.31096076965332,7.988279342651367,2.16239857673645,2.8803634643554688,16.31096076965332,19.299240112304688,2.988279342651367,2.988279342651367,0.21666666666666667,0.13333333333333333,0.5166666666666667,2.716155529022217,1.0995428562164307,6.200339221954346,0.8055134415626526,1.0,120
102,V7,v7-auto-dps,5,-11.404328346252441,1.923357367515564,1.6558544635772705,2.377124786376953,16.40432834625244,13.327685713768005,-3.076642632484436,3.076642632484436,0.4166666666666667,0.5666666666666667,0.6416666666666667,0.0,2.585676431655884,0.0,0.8407986164093018,1.0,120
103,V7,v7-auto-dps,5,-12.250120162963867,7.603734970092773,2.2084262371063232,3.018122434616089,17.250120162963867,19.85385513305664,2.6037349700927734,2.6037349700927734,0.39166666666666666,0.6333333333333333,0.55,3.0279998779296875,0.3444027900695801,6.14812183380127,0.9056926369667053,1.0,120
104,V7,v7-auto-dps,5,-8.233696937561035,5.209301948547363,1.8955851793289185,1.2116191387176514,13.233696937561035,13.442998886108398,0.20930194854736328,0.20930194854736328,0.875,0.9,1.0,0.33239927887916565,0.5237966179847717,1.3416996955871585,0.5838639736175537,1.0,120
105,V7,v7-auto-dps,5,-8.173517227172852,3.0704314708709717,1.4553624391555786,1.8389084339141846,13.173517227172852,11.243948698043823,-1.9295685291290283,1.9295685291290283,0.44166666666666665,0.9333333333333333,0.875,0.7117564082145691,1.346874713897705,0.01294956207275501,-0.014691628515720367,1.0,120
106,V7,v7-auto-dps,5,-11.711592674255371,6.074944972991943,1.7830232381820679,0.919252336025238,16.71159267425537,17.786537647247314,1.0749449729919434,1.0749449729919434,0.8583333333333333,1.0,1.0,0.4287775158882141,0.0,2.2084603309631348,0.4822366535663605,1.0,120
107,V7,v7-auto-dps,5,-11.364561080932617,7.5267014503479,2.2413878440856934,2.062351703643799,16.364561080932617,18.891262531280518,2.5267014503479004,2.5267014503479004,0.31666666666666665,0.0,0.625,1.849661946296692,0.08197593688964844,4.566242218017579,0.691060483455658,1.0,120
108,V7,v7-auto-dps,5,-11.356368064880371,8.358067512512207,1.5510362386703491,1.8997119665145874,16.35636806488037,19.714435577392578,3.358067512512207,3.358067512512207,0.24166666666666667,0.1,0.5416666666666666,2.2354846000671387,0.0,5.275762367248535,0.8919289708137512,1.0,120
109,V7,v7-auto-dps,5,-10.360030174255371,5.473392009735107,1.4648768901824951,2.3883678913116455,15.360030174255371,15.833422183990479,0.4733920097351074,0.4733920097351074,0.4166666666666667,0.5,0.9416666666666667,1.0128026008605957,0.8692845106124878,3.327224922180176,0.6113066673278809,1.0,120
110,V7,v7-auto-dps,5,-11.468157768249512,8.250588417053223,2.7595038414001465,1.3573750257492065,16.46815776824951,19.718746185302734,3.2505884170532227,3.2505884170532227,0.25,0.23333333333333334,0.575,1.9180943965911865,0.0,4.736036682128907,0.5881683230400085,1.0,120
111,V7,v7-auto-dps,5,-14.099248886108398,7.9936299324035645,3.1191272735595703,0.9242390990257263,19.0992488861084,22.092878818511963,2.9936299324035645,2.9936299324035645,0.18333333333333332,0.03333333333333333,0.8916666666666667,1.3354578018188477,0.0,4.015906715393067,0.634171187877655,1.0,120
112,V7,v7-auto-dps,5,-11.977615356445312,7.858963966369629,2.0727622509002686,1.0004727840423584,16.977615356445312,19.83657932281494,2.858963966369629,2.858963966369629,0.18333333333333332,0.0,0.8916666666666667,1.2558900117874146,0.0,4.02312822341919,-0.09993103891611099,1.0,120
113,V7,v7-auto-dps,5,-7.060605049133301,6.9338836669921875,1.585039734840393,0.7201312780380249,12.0606050491333,13.994488716125488,1.9338836669921875,1.9338836669921875,0.5833333333333334,0.9333333333333333,1.0,0.5752414464950562,0.0,2.922257947921753,0.5623644590377808,1.0,120
114,V7,v7-auto-dps,5,-10.806960105895996,5.2572855949401855,1.3417199850082397,2.2969114780426025,15.806960105895996,16.06424570083618,0.25728559494018555,0.25728559494018555,0.43333333333333335,0.36666666666666664,0.9583333333333334,0.49935877323150635,1.1853690147399902,2.607482957839966,0.848010778427124,1.0,120
115,V7,v7-auto-dps,5,-10.937761306762695,2.922377109527588,1.3184207677841187,1.678140640258789,15.937761306762695,13.860138416290283,-2.077622890472412,2.077622890472412,0.575,0.6333333333333333,0.8583333333333333,0.0,1.744111180305481,0.0,0.8680885434150696,1.0,120
116,V7,v7-auto-dps,5,-9.35988998413086,5.060997009277344,2.860835075378418,2.6314358711242676,14.35988998413086,14.420886993408203,0.06099700927734375,0.06099700927734375,0.55,0.26666666666666666,0.9083333333333333,0.8237878084182739,1.952750563621521,3.085101985931397,0.6351006627082825,1.0,120
117,V7,v7-auto-dps,5,-10.201059341430664,5.429188251495361,1.7686702013015747,2.3061678409576416,15.201059341430664,15.630247592926025,0.42918825149536133,0.42918825149536133,0.48333333333333334,0.4,0.9416666666666667,0.9726117849349976,1.1271520853042603,3.2934242248535157,0.6671178340911865,1.0,120
118,V7,v7-auto-dps,5,-13.854562759399414,6.8084025382995605,2.6379177570343018,2.297959566116333,18.854562759399414,20.662965297698975,1.8084025382995605,1.8084025382995605,0.3416666666666667,0.4666666666666667,0.825,1.4563624858856201,1.1070892810821533,4.518911838531494,0.7855840921401978,1.0,120
119,V7,v7-auto-dps,5,-11.63099193572998,3.2096951007843018,1.5449769496917725,3.0458621978759766,16.63099193572998,14.840687036514282,-1.7903048992156982,1.7903048992156982,0.475,0.3,0.6833333333333333,0.2627069652080536,3.0373897552490234,1.9858877182006842,0.4676535427570343,1.0,120
120,V7,v7-auto-dps,5,-8.64263916015625,7.0962371826171875,3.174649715423584,2.2300140857696533,13.64263916015625,15.738876342773438,2.0962371826171875,2.0962371826171875,0.475,0.6,0.75,1.9731416702270508,0.2547568082809448,5.019390964508057,0.6193210482597351,1.0,120
121,V7,v7-auto-dps,5,-8.86019515991211,6.604054927825928,1.4269450902938843,1.9958465099334717,13.86019515991211,15.464250087738037,1.6040549278259277,1.6040549278259277,0.425,0.13333333333333333,0.925,1.1565964221954346,0.7907310128211975,3.8747723579406745,0.4156477749347687,1.0,120
